event_id,investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,weather_condition,broad_phase_of_flight,publication_date,state,year,calculated_severity,town,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured
20020909X01562,Accident,SEA82DA022,1982-01-01,"Pullman, Wa",United States,Fatal,Substantial,Airplane,N2482N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,01-01-1982,Washington,1982,Uninjured,Pullman,0.0,0.0,0.0,2.0
20020909X01561,Accident,NYC82DA015,1982-01-01,"East Hanover, Nj",United States,Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,Business,IMC,Landing,01-01-1982,New Jersey,1982,Uninjured,East Hanover,0.0,0.0,0.0,2.0
20020917X02134,Accident,FTW82FRA14,1982-01-02,"Hearne, Tx",United States,Fatal,Destroyed,Airplane,N758SK,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,02-01-1983,Texas,1982,Fatal,Hearne,1.0,0.0,0.0,0.0
20020917X02117,Accident,FTW82FPG08,1982-01-02,"Little Rock, Ar",United States,Fatal,Destroyed,Airplane,N9779L,Beech,19,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,02-01-1983,Arkansas,1982,Fatal,Little Rock,2.0,0.0,0.0,0.0
20020917X01656,Accident,ANC82FAG14,1982-01-02,"Skwenta, Ak",United States,Fatal,Destroyed,Airplane,N7641A,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Unknown,02-01-1983,Alaska,1982,Fatal,Skwenta,3.0,0.0,0.0,0.0
20020917X02481,Accident,NYC82DA016,1982-01-02,"Galeton, Pa",United States,Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Taxi,02-01-1983,Pennsylvania,1982,Uninjured,Galeton,0.0,0.0,0.0,1.0
20020917X01894,Accident,CHI82FEC08,1982-01-02,"Ypsilanti, Mi",United States,Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,02-01-1983,Michigan,1982,Uninjured,Ypsilanti,0.0,0.0,0.0,1.0
20020917X01776,Accident,CHI82DA020,1982-01-02,"Charlotte, Mi",United States,Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,02-01-1983,Michigan,1982,Uninjured,Charlotte,0.0,0.0,0.0,2.0
20020917X01657,Accident,ATL82DA027,1982-01-02,"Chamblee, Ga",United States,Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,Unknown,VMC,Approach,02-01-1983,Georgia,1982,Uninjured,Chamblee,0.0,0.0,0.0,1.0
20020917X02333,Incident,LAX82IA034,1982-01-03,"Van Nuys, Ca",United States,Incident,Minor,Airplane,N5018P,Piper,Pa-24-180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-01-1983,California,1982,Uninjured,Van Nuys,0.0,0.0,0.0,1.0
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 Nm W Lee Vin, Ca",United States,Fatal,Destroyed,Airplane,N28912,Grumman,Aa-5B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Descent,03-01-1983,California,1982,Fatal,10 Nm W Lee Vin,2.0,1.0,0.0,0.0
20020917X01905,Accident,DCA82AA008,1982-01-03,"Ashland, Va",United States,Fatal,Destroyed,Airplane,N2620L,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,Business,IMC,Approach,03-01-1983,Virginia,1982,Fatal,Ashland,8.0,0.0,0.0,0.0
20020917X02340,Accident,MIA82DA030,1982-01-03,"Cocoa, Fl",United States,Fatal,Substantial,Airplane,N94252,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Descent,03-01-1983,Florida,1982,Minor,Cocoa,0.0,0.0,1.0,1.0
20020917X01992,Accident,FTW82DA036,1982-01-03,"Fort Worth, Tx",United States,Fatal,Substantial,Airplane,N71054,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-01-1983,Texas,1982,Minor,Fort Worth,0.0,0.0,2.0,0.0
20020917X02618,Accident,SEA82FA015,1982-01-04,"Pleasant Hill, Or",United States,Fatal,Destroyed,Airplane,N8265A,Piper,Pa-28-161,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,04-01-1983,Oregon,1982,Fatal,Pleasant Hill,4.0,0.0,0.0,0.0
20020917X02254,Accident,LAX82FA038,1982-01-04,"Near Las Vegas, Nv",United States,Fatal,Destroyed,Airplane,N1956H,Piper,Pa-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Cruise,04-01-1983,Nevada,1982,Fatal,Near Las Vegas,2.0,0.0,0.0,0.0
20020917X01880,Accident,CHI82FA019,1982-01-04,"Fort Wayne, In",United States,Fatal,Destroyed,Airplane,N2CU,Cessna,T337G,No,2.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,04-01-1983,Indiana,1982,Fatal,Fort Wayne,2.0,2.0,0.0,0.0
20020917X01991,Accident,FTW82DA035,1982-01-04,"Estancia, Nm",United States,Fatal,Substantial,Airplane,N32335,Piper,Pa-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,04-01-1983,New Mexico,1982,Minor,Estancia,0.0,0.0,2.0,0.0
20020917X02410,Accident,MIA82FKA05,1982-01-04,Saint Croix,United States,Fatal,Destroyed,Airplane,N5151U,Cessna,206,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Taxi,04-01-1983,SAINT CROIX,1982,Fatal,Saint Croix,1.0,0.0,1.0,0.0
20020917X02253,Accident,LAX82FA036,1982-01-05,"Black Canyon Ci, Az",United States,Fatal,Destroyed,Airplane,N4696Z,Piper,Pa-22,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,05-01-1983,Arizona,1982,Fatal,Black Canyon Ci,1.0,0.0,0.0,0.0
20020917X01906,Accident,DCA82AA009,1982-01-05,"Ithaca, Ny",United States,Fatal,Destroyed,Airplane,N546BA,Piper,Pa-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Approach,05-01-1983,New York,1982,Fatal,Ithaca,2.0,0.0,0.0,0.0
20020917X01993,Accident,FTW82DA037,1982-01-05,"Lonoke, Ar",United States,Fatal,Substantial,Airplane,N5304P,Piper,Pa-24-250,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Descent,05-01-1983,Arkansas,1982,Serious,Lonoke,0.0,1.0,0.0,1.0
20020917X01658,Accident,ATL82DA028,1982-01-05,"Gastonia, Nc",United States,Fatal,Substantial,Airplane,N2139T,Piper,Pa-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,VMC,Cruise,05-01-1983,North Carolina,1982,Uninjured,Gastonia,0.0,0.0,0.0,1.0
20020917X02156,Accident,LAX82DA037,1982-01-05,"Springerville, Az",United States,Fatal,Substantial,Airplane,N738XP,Cessna,Tr182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Taxi,05-01-1983,Arizona,1982,Uninjured,Springerville,0.0,0.0,0.0,1.0
20020917X01651,Accident,ANC82FA012,1982-01-05,"Bethel, Ak",United States,Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Takeoff,05-01-1983,Alaska,1982,Serious,Bethel,0.0,2.0,0.0,0.0
20020917X02423,Accident,MKC82DA016,1982-01-06,"Rolla, Mo",United States,Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,Executive/corporate,VMC,Approach,06-01-1983,Missouri,1982,Uninjured,Rolla,0.0,0.0,0.0,3.0
20020917X01913,Accident,DEN82DA015,1982-01-06,"Jackson, Wy",United States,Fatal,Substantial,Airplane,N8070Q,Beech,35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Climb,06-01-1983,Wyoming,1982,Uninjured,Jackson,0.0,0.0,0.0,3.0
20020917X01777,Accident,CHI82DA021,1982-01-06,"Paxton, Il",United States,Fatal,Substantial,Airplane,N4900L,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Approach,06-01-1983,Illinois,1982,Uninjured,Paxton,0.0,0.0,0.0,2.0
20020917X01757,Accident,ATL82FLG08,1982-01-06,"Hilton Head, Sc",United States,Fatal,Substantial,Airplane,N201NH,Mooney,M-20J,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Takeoff,06-01-1983,South Carolina,1982,Uninjured,Hilton Head,0.0,0.0,0.0,2.0
20020917X02242,Accident,LAX82DVA10,1982-01-06,"Near Bakersfiel, Ca",United States,Fatal,Substantial,Airplane,N59737,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,IMC,Cruise,06-01-1983,California,1982,Serious,Near Bakersfiel,0.0,1.0,0.0,1.0
20020917X01964,Accident,DEN82FA016,1982-01-07,"Helena, Mt",United States,Fatal,Destroyed,Airplane,N9763X,Cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Cruise,07-01-1983,Montana,1982,Fatal,Helena,2.0,0.0,0.0,0.0
20020917X01659,Accident,ATL82DA031,1982-01-07,"Westminister, Md",United States,Fatal,Substantial,Airplane,N117P,Beech,V35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,07-01-1983,Maryland,1982,Uninjured,Westminister,0.0,0.0,0.0,1.0
20020917X02414,Accident,MIA82FLD14,1982-01-08,"Odessa, Fl",United States,Fatal,Destroyed,Airplane,N80264,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Approach,08-01-1983,Florida,1982,Fatal,Odessa,1.0,0.0,0.0,0.0
20020917X01881,Accident,CHI82FA024,1982-01-08,"New Philadelphi, Oh",United States,Fatal,Destroyed,Airplane,N207CB,Piper,Pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,08-01-1983,Ohio,1982,Fatal,New Philadelphi,1.0,1.0,0.0,0.0
20020917X02574,Accident,SEA82DA016,1982-01-08,"Pullman, Wa",United States,Fatal,Substantial,Airplane,N6106U,Cessna,Tu206G,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Landing,08-01-1983,Washington,1982,Uninjured,Pullman,0.0,0.0,0.0,1.0
20020917X02484,Accident,NYC82DA019,1982-01-08,"Cutchogue, Ny",United States,Fatal,Substantial,Airplane,N46681,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Cruise,08-01-1983,New York,1982,Uninjured,Cutchogue,0.0,0.0,0.0,1.0
20020917X02431,Accident,MKC82DA026,1982-01-08,"Liberty, Mo",United States,Fatal,Substantial,Airplane,N7618P,Piper,Pa-24-250,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,08-01-1983,Missouri,1982,Uninjured,Liberty,0.0,0.0,0.0,2.0
20020917X01779,Accident,CHI82DA023,1982-01-08,"Peoria, Il",United States,Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,08-01-1983,Illinois,1982,Uninjured,Peoria,0.0,0.0,0.0,1.0
20020917X01778,Accident,CHI82DA022,1982-01-08,"Sandusky, Oh",United States,Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,08-01-1983,Ohio,1982,Uninjured,Sandusky,0.0,0.0,0.0,2.0
20020917X01717,Accident,ATL82DLG09,1982-01-08,"Grantiteville, Sc",United States,Fatal,Substantial,Airplane,N25225,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,08-01-1983,South Carolina,1982,Uninjured,Grantiteville,0.0,0.0,0.0,1.0
20020917X02246,Accident,LAX82DVG12,1982-01-09,"Napa, Ca",United States,Fatal,Substantial,Airplane,N731NZ,Cessna,P210N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,09-01-1983,California,1982,Uninjured,Napa,0.0,1.0,0.0,3.0
20020917X01995,Accident,FTW82DA039,1982-01-09,"Fruit Vale, Tx",United States,Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,09-01-1983,Texas,1982,Uninjured,Fruit Vale,0.0,0.0,0.0,2.0
20020917X01994,Accident,FTW82DA038,1982-01-09,"Tomball, Tx",United States,Fatal,Substantial,Airplane,N55489,Piper,Pa-34,No,2.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Taxi,09-01-1983,Texas,1982,Uninjured,Tomball,0.0,0.0,0.0,3.0
20020917X02283,Accident,LAX82FJA03,1982-01-09,"Mokuleia, Hi",United States,Fatal,Substantial,Airplane,N5639V,Cessna,305 (L-19),No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Landing,09-01-1983,Hawaii,1982,Uninjured,Mokuleia,0.0,0.0,0.0,2.0
20020917X01981,Accident,DEN82FTE15,1982-01-09,"Steamboat Sprin, Co",United States,Fatal,Substantial,Airplane,N2195G,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Approach,09-01-1983,Colorado,1982,Uninjured,Steamboat Sprin,0.0,0.0,0.0,1.0
20020917X02341,Accident,MIA82DA032,1982-01-10,"Okeechobee, Fl",United States,Fatal,Destroyed,Airplane,N567V,Piper,Pa-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,UNK,Approach,10-01-1983,Florida,1982,Serious,Okeechobee,0.0,2.0,0.0,0.0
20020917X02158,Accident,LAX82DA041,1982-01-10,"Bullhead City, Az",United States,Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,10-01-1983,Arizona,1982,Uninjured,Bullhead City,0.0,0.0,0.0,4.0
20020917X01882,Accident,CHI82FA025,1982-01-10,"Wheeling, Il",United States,Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,10-01-1983,Illinois,1982,Uninjured,Wheeling,0.0,0.0,0.0,2.0
20020917X01719,Accident,ATL82FA032,1982-01-10,"Henderson, Nc",United States,Fatal,Destroyed,Airplane,N3688N,Mooney,M20G,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,10-01-1983,North Carolina,1982,Fatal,Henderson,1.0,1.0,0.0,0.0
20020917X02305,Accident,LAX82FUQ07,1982-01-10,"Mojave, Ca",United States,Fatal,Substantial,Airplane,N2644Q,Cessna,Tu206F,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,10-01-1983,California,1982,Minor,Mojave,0.0,0.0,4.0,0.0
20020917X01623,Accident,ANC82DA013,1982-01-10,"Quinhagak, Ak",United States,Fatal,Substantial,Airplane,N756YN,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Cruise,10-01-1983,Alaska,1982,Minor,Quinhagak,0.0,0.0,3.0,0.0
20020917X01985,Accident,DEN82FTI10,1982-01-11,"Near Bozeman, Mt",United States,Fatal,Destroyed,Airplane,N7273J,Piper,Pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,11-01-1983,Montana,1982,Serious,Near Bozeman,0.0,1.0,1.0,0.0
20020917X01965,Accident,DEN82FA017,1982-01-11,"Riverton, Wy",United States,Fatal,Destroyed,Airplane,N6558A,Cessna,210N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,11-01-1983,Wyoming,1982,Fatal,Riverton,4.0,1.0,1.0,0.0
20020917X01982,Accident,DEN82FTE16,1982-01-11,"Saquache, Co",United States,Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,11-01-1983,Colorado,1982,Uninjured,Saquache,0.0,0.0,0.0,1.0
20020917X01715,Accident,ATL82DKJ09,1982-01-11,"Auburn, Al",United States,Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,11-01-1983,Alabama,1982,Uninjured,Auburn,0.0,0.0,0.0,1.0
20020917X01750,Accident,ATL82FKQ09,1982-01-12,"Aberdeen, Ms",United States,Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2.0,Reciprocating,Part 91: General Aviation,Personal,UNK,Descent,12-01-1983,Mississippi,1982,Minor,Aberdeen,0.0,0.0,3.0,0.0
20020917X02111,Accident,FTW82FPA10,1982-01-12,"Addison, Tx",United States,Fatal,Substantial,Airplane,N8678M,Beech,P35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Descent,12-01-1983,Texas,1982,Serious,Addison,0.0,1.0,0.0,1.0
20020917X02342,Accident,MIA82DA033,1982-01-13,"Monticello, Fl",United States,Fatal,Destroyed,Airplane,N28607,Grumman,Aa5B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Descent,13-01-1983,Florida,1982,Uninjured,Monticello,0.0,0.0,0.0,1.0
20020917X02120,Accident,FTW82FPJ11,1982-01-13,"Watonga, Ok",United States,Fatal,Substantial,Airplane,N47442,Piper,Pa-28R-201T,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,13-01-1983,Oklahoma,1982,Uninjured,Watonga,0.0,0.0,0.0,3.0
20020917X01996,Accident,FTW82DA040,1982-01-13,"Hobbs, Nm",United States,Fatal,Substantial,Airplane,N2396W,Beech,A23-24,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,13-01-1983,New Mexico,1982,Uninjured,Hobbs,0.0,0.0,0.0,4.0
20020917X02575,Accident,SEA82DA017,1982-01-13,"Spokane, Wa",United States,Fatal,Substantial,Airplane,N36PB,Piper,Pa-31-350,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,IMC,Approach,13-01-1983,Washington,1982,Uninjured,Spokane,0.0,0.0,0.0,2.0
20020917X01966,Accident,DEN82FA018,1982-01-15,"28 Mi Ene Ogden, Ut",United States,Fatal,Destroyed,Airplane,N6520Y,Cessna,T210N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Climb,15-01-1983,Utah,1982,Fatal,28 Mi Ene Ogden,3.0,0.0,0.0,0.0
20020917X02395,Accident,MIA82DKJ03,1982-01-15,"Malone, Fl",United States,Fatal,Substantial,Airplane,N5559T,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,15-01-1983,Florida,1982,Uninjured,Malone,0.0,0.0,0.0,2.0
20020917X02576,Accident,SEA82DA018,1982-01-15,"Spokane, Wa",United States,Fatal,Substantial,Airplane,N72901,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Takeoff,15-01-1983,Washington,1982,Uninjured,Spokane,0.0,0.0,0.0,1.0
20020917X01780,Accident,CHI82DA027,1982-01-15,"Anoka, Mn",United States,Fatal,Substantial,Airplane,N300JR,Beech,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Landing,15-01-1983,Minnesota,1982,Uninjured,Anoka,0.0,0.0,0.0,2.0
20020917X02487,Accident,NYC82DA023,1982-01-16,"Swanton, Vt",United States,Fatal,Substantial,Airplane,N704KE,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Go-around,16-01-1983,Vermont,1982,Uninjured,Swanton,0.0,0.0,0.0,1.0
20020917X02321,Accident,LAX82FVG14,1982-01-17,"Davis, Ca",United States,Fatal,Destroyed,Airplane,N63182,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,17-01-1983,California,1982,Fatal,Davis,1.0,0.0,0.0,0.0
20020917X02294,Accident,LAX82FUJ24,1982-01-17,"Sunflower, Az",United States,Fatal,Destroyed,Airplane,N7383S,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Other,17-01-1983,Arizona,1982,Minor,Sunflower,0.0,0.0,1.0,0.0
20020917X02142,Accident,FTW82FRG21,1982-01-17,"Port Mansfield, Tx",United States,Fatal,Destroyed,Airplane,N9181Y,Piper,Pa-31,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Approach,17-01-1983,Texas,1982,Fatal,Port Mansfield,1.0,0.0,0.0,0.0
20020917X01967,Accident,DEN82FA020,1982-01-17,"Delta, Ut",United States,Fatal,Destroyed,Airplane,N91TW,Piper,Pa-31T,No,2.0,Turbo Prop,Part 91: General Aviation,Personal,VMC,Maneuvering,17-01-1983,Utah,1982,Minor,Delta,0.0,0.0,3.0,0.0
20020917X01721,Accident,ATL82FA035,1982-01-17,"Picayune, Ms",United States,Fatal,Destroyed,Airplane,N654T,Beech,F50,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Takeoff,17-01-1983,Mississippi,1982,Fatal,Picayune,2.0,0.0,0.0,0.0
20020917X01624,Accident,ANC82DA014,1982-01-17,"Anchorage, Ak",United States,Fatal,Destroyed,Airplane,N63516,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,17-01-1983,Alaska,1982,Minor,Anchorage,0.0,0.0,1.0,1.0
20020917X01914,Accident,DEN82DA019,1982-01-17,"Cedar City, Ut",United States,Fatal,Substantial,Airplane,N2600Y,Cessna,180E,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Maneuvering,17-01-1983,Utah,1982,Uninjured,Cedar City,0.0,0.0,0.0,1.0
20020917X01645,Accident,ANC82DAG15,1982-01-17,"Tuluksak, Ak",United States,Fatal,Substantial,Airplane,N3574D,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,17-01-1983,Alaska,1982,Uninjured,Tuluksak,0.0,0.0,0.0,2.0
20020917X01660,Accident,ATL82DA036,1982-01-17,"Centerville, Al",United States,Fatal,Substantial,Helicopter,N203AL,Bell,206B,No,1.0,Turbo Shaft,Part 91: General Aviation,Unknown,VMC,Maneuvering,17-01-1983,Alabama,1982,Uninjured,Centerville,0.0,0.0,0.0,2.0
20020917X02624,Accident,SEA82FYM08,1982-01-18,"Orchards, Wa",United States,Fatal,Destroyed,Airplane,N2127W,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Descent,18-01-1983,Washington,1982,Serious,Orchards,0.0,2.0,2.0,0.0
20020917X02257,Accident,LAX82FA047,1982-01-18,"Downieville, Ca",United States,Fatal,Destroyed,Airplane,N5295R,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,18-01-1983,California,1982,Fatal,Downieville,1.0,0.0,0.0,0.0
20020917X01723,Accident,ATL82FA039,1982-01-18,"Blairsville, Ga",United States,Fatal,Destroyed,Airplane,N4583J,Piper,Pa-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,18-01-1983,Georgia,1982,Fatal,Blairsville,3.0,0.0,0.0,0.0
20020917X01999,Accident,FTW82DA045,1982-01-18,"S.E. Of Houma, La",United States,Fatal,Substantial,Airplane,N2705K,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Takeoff,18-01-1983,Louisiana,1982,Uninjured,S.E. Of Houma,0.0,0.0,0.0,1.0
20020917X01722,Accident,ATL82FA037,1982-01-18,"Madison County, Al",United States,Fatal,Substantial,Airplane,N641CH,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Approach,18-01-1983,Alabama,1982,Fatal,Madison County,4.0,0.0,0.0,0.0
20020917X02476,Accident,MKC82FCQ08,1982-01-19,"Cedar Vale, Ks",United States,Fatal,Destroyed,Airplane,N7761M,Mooney,M20F,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Takeoff,19-01-1983,Kansas,1982,Fatal,Cedar Vale,1.0,0.0,0.0,0.0
20020917X02121,Accident,FTW82FPJ12,1982-01-19,"Stillwater, Ok",United States,Fatal,Destroyed,Airplane,N4438D,Beech,G35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Maneuvering,19-01-1983,Oklahoma,1982,Fatal,Stillwater,2.0,0.0,0.0,0.0
20020917X01978,Accident,DEN82FTA09,1982-01-19,"Wolf Pt., Mt",United States,Fatal,Destroyed,Airplane,N35147,Cessna,177B,No,1.0,Reciprocating,Part 91: General Aviation,Business,UNK,Cruise,19-01-1983,Montana,1982,Serious,Wolf Pt.,1.0,2.0,0.0,0.0
20020917X01908,Accident,DCA82AA012B,1982-01-19,"Rockport, Tx",United States,Fatal,Destroyed,Airplane,N26660,Grumman,Aa5A,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Approach,19-01-1983,Texas,1982,Fatal,Rockport,3.0,0.0,0.0,0.0
20020917X02490,Accident,NYC82DA026,1982-01-19,"Somerset, Pa",United States,Fatal,Substantial,Airplane,N8043J,Piper,Aerostar 601P,No,2.0,Reciprocating,Part 91: General Aviation,Executive/corporate,VMC,Takeoff,19-01-1983,Pennsylvania,1982,Uninjured,Somerset,0.0,0.0,0.0,2.0
20020917X02488,Accident,NYC82DA024,1982-01-19,"Enfield, Nh",United States,Fatal,Substantial,Airplane,N68292,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Cruise,19-01-1983,New Hampshire,1982,Uninjured,Enfield,0.0,0.0,0.0,1.0
20020917X02425,Accident,MKC82DA018,1982-01-19,"Topeka, Ks",United States,Fatal,Substantial,Airplane,N52757,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,Aerial Observation,VMC,Cruise,19-01-1983,Kansas,1982,Minor,Topeka,0.0,0.0,1.0,1.0
20020917X02424,Accident,MKC82DA017,1982-01-19,"Urbandale, Ia",United States,Fatal,Substantial,Airplane,N1969Q,Cessna,177Rg,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Climb,19-01-1983,Iowa,1982,Uninjured,Urbandale,0.0,0.0,0.0,2.0
20020917X02160,Accident,LAX82DA043,1982-01-19,"Santa Monica, Ca",United States,Fatal,Substantial,Airplane,N9255X,Cessna,182E,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,19-01-1983,California,1982,Uninjured,Santa Monica,0.0,0.0,0.0,1.0
20020917X01997,Accident,FTW82DA042,1982-01-19,"Shreveport, La",United States,Fatal,Substantial,Airplane,N6510S,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,19-01-1983,Louisiana,1982,Uninjured,Shreveport,0.0,0.0,0.0,1.0
20020917X01806,Accident,CHI82DA056,1982-01-19,"Near Lansing, Mi",United States,Fatal,Substantial,Airplane,N4140G,Cessna,340A,No,2.0,Reciprocating,Part 91: General Aviation,Business,UNK,Cruise,19-01-1983,Michigan,1982,Uninjured,Near Lansing,0.0,0.0,0.0,2.0
20020917X01781,Accident,CHI82DA028,1982-01-19,"Grand Rapids, Mi",United States,Fatal,Substantial,Airplane,N26093,Piper,Pa-38-112,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,19-01-1983,Michigan,1982,Uninjured,Grand Rapids,0.0,0.0,0.0,2.0
