event_id,investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,weather_condition,broad_phase_of_flight,publication_date,state,year,calculated_severity,town,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured
20020917X04222,Accident,ANC83FAA03,1982-10-01,"27 E Sagwon, Ak",United States,Fatal,Substantial,Airplane,N13960,Piper,Pa-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Maneuvering,01-10-1983,Alaska,1982,Uninjured,27 E Sagwon,0.0,0.0,0.0,1.0
20020917X05145,Accident,SEA83LA002,1982-10-01,"Mattawa, Wa",United States,Fatal,Substantial,Airplane,N57608,Piper,Pa-36,No,1.0,Reciprocating,Part 137: Agricultural,Unknown,VMC,Landing,01-10-1983,Washington,1982,Uninjured,Mattawa,0.0,0.0,0.0,1.0
20020917X04223,Incident,ANC83IA001,1982-10-02,"Near Port Heide, Ak",United States,Incident,Minor,Airplane,N4025W,Piper,Pa-32-300,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Taxi,02-10-1983,Alaska,1982,Uninjured,Near Port Heide,0.0,0.0,0.0,1.0
20020917X04992,Accident,MKC83LA002,1982-10-02,"Centerville, Ia",United States,Fatal,Substantial,Airplane,N525SB,Beech,C24R,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,02-10-1983,Iowa,1982,Uninjured,Centerville,0.0,0.0,0.0,3.0
20020917X04836,Accident,LAX83LA004,1982-10-02,"Palm Springs, Ca",United States,Fatal,Substantial,Airplane,N7537R,Piper,Pa-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Taxi,02-10-1983,California,1982,Uninjured,Palm Springs,0.0,0.0,0.0,2.0
20020917X04555,Accident,DEN83LA006,1982-10-02,"Malta, Mt",United States,Fatal,Substantial,Helicopter,N7928S,Bell,47G3B1,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,VMC,Maneuvering,02-10-1983,Montana,1982,Minor,Malta,0.0,0.0,1.0,0.0
20020917X04654,Accident,FTW83FPM01,1982-10-02,"Foyil, Ok",United States,Fatal,Substantial,Airplane,N1606C,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Landing,02-10-1983,Oklahoma,1982,Serious,Foyil,0.0,1.0,0.0,0.0
20020917X04802,Accident,LAX83FJA01,1982-10-03,"Waimanalo, Hi",United States,Fatal,Destroyed,Airplane,N215H,Beech,C-45G,No,2.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Maneuvering,03-10-1983,Hawaii,1982,Fatal,Waimanalo,3.0,0.0,0.0,0.0
20020917X04781,Accident,LAX83FA003,1982-10-03,"Flagstaff, Az",United States,Fatal,Destroyed,Airplane,N72RT,Beech,95-55,No,2.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Maneuvering,03-10-1983,Arizona,1982,Fatal,Flagstaff,5.0,0.0,0.0,0.0
20020917X05075,Accident,NYC83LA002,1982-10-03,"Bernville, Pa",United States,Fatal,Substantial,Airplane,N3849M,Piper,Pa-12,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-10-1983,Pennsylvania,1982,Uninjured,Bernville,0.0,0.0,0.0,1.0
20020917X04993,Accident,MKC83LA003,1982-10-03,"Mcpherson, Ks",United States,Fatal,Substantial,Airplane,N757PF,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,03-10-1983,Kansas,1982,Uninjured,Mcpherson,0.0,0.0,0.0,2.0
20020917X04917,Accident,MIA83LA003,1982-10-03,"Orlando, Fl",United States,Fatal,Substantial,Airplane,N93286,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,03-10-1983,Florida,1982,Uninjured,Orlando,0.0,0.0,0.0,1.0
20020917X04916,Accident,MIA83LA002,1982-10-03,"Cocoa, Fl",United States,Fatal,Substantial,Airplane,N2101R,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,03-10-1983,Florida,1982,Uninjured,Cocoa,0.0,0.0,0.0,1.0
20020917X04851,Accident,LAX83LA021,1982-10-03,"Peoria, Az",United States,Fatal,Substantial,Airplane,N6319S,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Taxi,03-10-1983,Arizona,1982,Uninjured,Peoria,0.0,0.0,0.0,1.0
20020917X04839,Accident,LAX83LA007,1982-10-03,"Santa Ana, Ca",United States,Fatal,Substantial,Airplane,N66909,Beech,A36Tc,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,03-10-1983,California,1982,Uninjured,Santa Ana,0.0,0.0,1.0,2.0
20020917X04838,Accident,LAX83LA006,1982-10-03,"Wickenburg, Az",United States,Fatal,Substantial,Airplane,N9474A,Cessna,140A,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,03-10-1983,Arizona,1982,Minor,Wickenburg,0.0,0.0,1.0,0.0
20020917X04837,Accident,LAX83LA005,1982-10-03,"Rialto, Ca",United States,Fatal,Substantial,Airplane,N4603A,Beech,A36,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Cruise,03-10-1983,California,1982,Uninjured,Rialto,0.0,0.0,0.0,2.0
20020917X04677,Accident,FTW83LA006,1982-10-03,"Pineville, La",United States,Fatal,Substantial,Airplane,N707PC,Cessna,180K Ii,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,03-10-1983,Louisiana,1982,Uninjured,Pineville,0.0,0.0,0.0,2.0
20020917X04674,Accident,FTW83LA003,1982-10-03,"Sugarland, Tx",United States,Fatal,Substantial,Airplane,N4845J,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,03-10-1983,Texas,1982,Uninjured,Sugarland,0.0,0.0,0.0,4.0
20020917X04442,Accident,CHI83LA005,1982-10-03,"Madison, In",United States,Fatal,Substantial,Airplane,N8055W,Grumman,Aa-1C,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,03-10-1983,Indiana,1982,Uninjured,Madison,0.0,0.0,0.0,2.0
20020917X04440,Accident,CHI83LA003,1982-10-03,"Seneca, Il",United States,Fatal,Substantial,Airplane,N5308D,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,03-10-1983,Illinois,1982,Serious,Seneca,0.0,1.0,1.0,0.0
20020917X04344,Accident,ATL83LA002,1982-10-03,"Denver, Nc",United States,Fatal,Substantial,Airplane,N28820,Grumman,Aa-5B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,03-10-1983,North Carolina,1982,Uninjured,Denver,0.0,0.0,0.0,3.0
20020917X04441,Accident,CHI83LA004,1982-10-03,"Shenandoah, Oh",United States,Fatal,Substantial,Airplane,N5445B,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Cruise,03-10-1983,Ohio,1982,Uninjured,Shenandoah,0.0,0.0,1.0,3.0
20020917X04386,Accident,ATL83LLQ01,1982-10-04,"Hazard, Ky",United States,Fatal,Destroyed,Airplane,N188CB,Beech,35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Takeoff,04-10-1983,Kentucky,1982,Serious,Hazard,0.0,1.0,0.0,0.0
20020917X04227,Accident,ANC83LA003,1982-10-04,"Near King Salmo, Ak",United States,Fatal,Destroyed,Airplane,N54247,Piper,Pa-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,04-10-1983,Alaska,1982,Uninjured,Near King Salmo,0.0,0.0,0.0,2.0
20020917X04443,Accident,CHI83LA006,1982-10-04,"Bluffton, Oh",United States,Fatal,Substantial,Airplane,N554V,Beech,56Tc,No,2.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,04-10-1983,Ohio,1982,Serious,Bluffton,0.0,4.0,0.0,0.0
20020917X04218,Accident,ANC83FA005,1982-10-04,"Flat, Ak",United States,Fatal,Substantial,Airplane,N9049G,Cessna,206,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Takeoff,04-10-1983,Alaska,1982,Uninjured,Flat,0.0,0.0,0.0,1.0
20020917X04291,Accident,ATL83FA003,1982-10-04,"Dyersburg, Tn",United States,Fatal,Substantial,Airplane,N1ET,Piper,Pa-31-310,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Descent,04-10-1983,Tennessee,1982,Minor,Dyersburg,0.0,0.0,5.0,0.0
20020917X04551,Accident,DEN83LA002,1982-10-05,"Nr. Englewood, Co",United States,Fatal,Destroyed,Helicopter,N204Z,Bell,47G3B,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Landing,05-10-1983,Colorado,1982,Uninjured,Nr. Englewood,0.0,0.0,0.0,1.0
20020917X04994,Accident,MKC83LA004B,1982-10-05,"Emporia, Ks",United States,Fatal,Substantial,Airplane,N89585,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Standing,05-10-1983,Kansas,1982,Uninjured,Emporia,0.0,0.0,1.0,2.0
